@id,@type,subClassOf,subClassOf,prefLabel,altLabel,assesses,definition,scope note,,,,,
pink:FunctionalityDimension,owl:Class,pink:SSbDDimension,,FunctionalityDimension,Functionality Dimension,,"The term functionality is defined as the quality of being useful, practical, and fit-for- purpose for which something was made. It is neither a property nor an application itself. It is rather the relationship between the use-oriented (functional) properties and the practical use of a chemical or material in such a way that the use of the chemical or material has a positive influence on a task or a potential application.
Suggested definition from :https://www.oecd.org/en/publications/safe-and-sustainable-by-design-tools-integrative-systems-and-platforms-for-nanomaterials-and-nano-enabled-products_e411a4b7-en.html",,,,,,
pink:SafetyDimension,owl:Class,pink:SSbDDimension,,SafetyDimension,Safety Dimension,,"Assessing hazards, exposure, and risks from  chemicals and materials throughout their life cycle.",,,,,,
pink:SustainabilityDimension,owl:Class,pink:SSbDDimension,,SustainabilityDimension,Sustainability Dimension,,Sustaina,,,,,,
pink:EnvironmentalSustainabilityDimension,owl:Class,pink:SSbDDimension,,EnvironmentalSustainabilityDimension,Environmental Sustainability Dimension,,,,,,,,
pink:SocialSustainabilityDimension,owl:Class,pink:SSbDDimension,,SocialSustainabilityDimension,Social Sustainability Dimension,,,,,,,,
pink:EconomicSustainabilityDimension,owl:Class,pink:SSbDDimension,,EconomicSustainabilityDimension,Economic Sustainability Dimension,,,,,,,,
pink:FunctionalityAssessment,owl:Class,pink:SpecifiedAssessment,,FunctionalityAssessment,Functionality Assessment,pink:FunctionalityDimension,Assessment of functionality of chemicals and materials,The superclass of all SSbD Assessments within the dimenstion functionality,,,,,
pink:SafetyAssessment,owl:Class,pink:SpecifiedAssessment,,Safety Assessment,Safety Dimension,pink:SafetyDimension,Assessment of safety of chemicals and materials.,The superclass of all SSbD Assessments within the dimenstion safety.,,,,,
pink:EnvironmentalSustainabilityAssessment,owl:Class,pink:SpecifiedAssessment,,EnvironmentalSustainabilityAssessment,Environmental Sustainability Assessment,pink:EnvironmentalSustainabilityDimension,"Assessment of environmental sustainability aspects of chemicals and materials during production, use, and disposal",The superclass of all SSbD Assessments within the dimension environmental sustainability,,,,,
pink:SocialSustainabilityAssessment,owl:Class,pink:SpecifiedAssessment,,SocialSustainabilityAssessment,Social Sustainability Assessment,pink:SocialSustainabilityDimension,"Assessment of social sustainability aspects of chemicals and materials during production, use, and disposal",The superclass of all SSbD Assessments within the dimension social sustainability,,,,,
pink:EconomicSustainabilityAssessment,owl:Class,pink:SpecifiedAssessment,,EconomicSustainabilityAssessment,Economic Sustainability Assessment,pink:EconomicSustainabilityDimension,"Assessment of economic sustainability aspects of chemicals and materials during production, use, and disposal",The superclass of all SSbD Assessments within the dimension economic sustainability,,,,,
pink:MechanicalPropertiesAssessment,owl:Class,pink:FunctionalityAssessment,,MechanicalPropertiesAssessment,Mechanical Properties Assessment,,Assessment of mechanical properties of materials,"Such as assessment of stress and strain (elasticity, plasticity) strength, stiffness, hardness, ductility, brittleness, fatigue, malleability, creep resilience (see https://en.wikipedia.org/wiki/List_of_materials_properties)",,,,,
pink:ThermalPropertiesAssessment,owl:Class,pink:FunctionalityAssessment,,ThermalPropertiesAssessment,"	Thermal Properties Assessment",,"	Assessment of thermal properties of chemicals and materials.",,,,,,
pink:PhysicalPropertiesAssessment,owl:Class,pink:FunctionalityAssessment,,PhysicalPropertiesAssessment,"	Physical Properties Assessment",,Assessment of physical properties of chemicals and materials.,,,,,,
pink:YoungsModulusAssessment,owl:Class,pink:MechanicalPropertiesAssessment,,YoungsModulusAssessment,Young's Modulus Assessment,,Assessment of Young's modulus of materials.,,,,,,
pink:BulkModulusAssessment,owl:Class,pink:MechanicalPropertiesAssessment,,BulkModulusAssessment,"	Bulk Modulus Assessment",,Assessment of bulk modulus of materials.,,,,,,
pink:PoissonsRatioAssessment,owl:Class,pink:MechanicalPropertiesAssessment,,PoissonsRatioAssessment,Poisson's Ratio Assessment,,"	Assessment of Poisson's ratio of materials. ", Poisson's ratio offers the fundamental metric by which to compare the performance of any material's resistance to distort under mechanical load rather than to alter in volume,,,,,
pink:GlassTransitionTemperatureAssessment,owl:Class,pink:ThermalPropertiesAssessment,,GlassTransitionTemperatureAssessment,Glass Transition Temperature Assessmen,,"	Assessment of glass transition temperature of materials.",,,,,,
pink:DensityAssessment,owl:Class,pink:PhysicalPropertiesAssessment,,DensityAssessment,Density Assessment,,Assessment of density of chemicals and materials.,,,,,,
pink:HazardIdentificationHumanHealth,owl:Class,pink:HazardAssessmentHumanHealth,,HazardIdentificationHumanHealth,Hazard Identification Human Health,,"Hazard identification is the process of determining whether exposure to a substance can cause a specific adverse effect on human health. Adverse effect is defined as change in morphology, physiology, growth, reproduction, development, or lifespan of an organism which results in impairment of functional capacity or impairment of capacity to compensate for additional stress or increased susceptibility to the harmful effects of other environmental influences.","Determination of whether the intrinsic properties of a chemical may cause harm (e.g. carcinogenicity, reproductive toxicity, ecotoxicity Ref: Bracalente, Giulio, et al. Safe and Sustainable by Design Chemicals and Materials. Publications Office of the European Union, 2025. EUR. Publications Office of the European Union, https://data.europa.eu/doi/10.2760/5103785.",,,,,
pink:HazardCharacterisationHumanHealth,owl:Class,pink:HazardAssessmentHumanHealth,,,,,Establishes the relationship between the dose or concentration of a chemical and the severity or probability of adverse effects. This includes identifying critical effects and determining reference tolerable exposure limit.,"Qualitative and,wherever possible, quantitative description of the nature of the hazard associatedwith the agent of concern.",,,,,
pink:HazardAssessmentHumanHealth,owl:Class,pink:SafetyAssessment,,HazardAssessmentHumanHealth,Hazard Assessment Human Health,,"Determination of factors controlling the likely effects of a hazard, such as the dose–effect and dose–response relationships, variations in target susceptibility, bioaccumulation potential, persistence, and mechanism of toxicity.",,,,,,
pink:ExposureAssessmentHumanHealth,owl:Class,pink:SafetyAssessment,,ExposureAssessmentHumanHealth,Exposure Assessment Human Health,,"Estimates the magnitude, frequency, duration, and route of exposure to the chemical for humans or environment for the relevant exposure pattern (population, route, and duration of exposure) and each relevant health effect (local and systemic effects) under realistic or worst-case scenarios.",,,,,,
pink:HumanHealthRiskAssessment,owl:Class,pink:SafetyAssessment,,HumanHealthRiskAssessment,Human Health Risk Assessment,,Integrates hazard and exposure information to estimate the likelihood and severity of harm to human health under specific use conditions.,,,,,,
pink:HazardAssessmentEnvironment,owl:Class,pink:SafetyAssessment,,HazardAssessmentEnvironment,Hazard Assessment Environment,,"Determination of factors controlling the likely effects of a hazard, such as the dose–effect and dose–response relationships, variations in target susceptibility, bioaccumulation potential, persistence, and mechanism of toxicity.",,,,,,
pink:HazardIdentificationEnvironment,owl:Class,pink:SafetyAssessment,,HazardIdentificationEnvironment,Hazard Identification Environment,,Hazard identification is the process of determining whether exposure to a substance can cause a specific adverse effect on organisms in the environment,,,,,,
